"order_id","payment_sequential","payment_type","payment_installments","payment_value"
"b81ef226f3fe1789b1e8b2acac839d17",1.0,"credit_card",8.0,99.33
"a9810da82917af2d9aefd1278f1dcfa0",1.0,"credit_card",1.0,24.39
"25e8ea4e93396b6fa0d3dd708e76c1bd",1.0,"credit_card",1.0,65.71
"ba78997921bbcdc1373bb41e913ab953",1.0,"credit_card",8.0,107.78
"42fdf880ba16b47b59251dd489d4441a",1.0,"credit_card",2.0,128.45
"298fcdf1f73eb413e4d26d01b25bc1cd",1.0,"credit_card",2.0,96.12
"771ee386b001f06208a7419e4fc1bbd7",1.0,"credit_card",1.0,81.16
"3d7239c394a212faae122962df514ac7",1.0,"credit_card",3.0,51.84
"1f78449c87a54faf9e96e88ba1491fa9",1.0,"credit_card",6.0,341.09
"0573b5e23cbd798006520e1d5b4c6714",1.0,"boleto",1.0,51.95
"d88e0d5fa41661ce03cf6cf336527646",1.0,"credit_card",8.0,188.73
"2480f727e869fdeb397244a21b721b67",1.0,"credit_card",1.0,141.9
"616105c9352a9668c38303ad44e056cd",1.0,"credit_card",1.0,75.78
"cf95215a722f3ebf29e6bbab87a29e61",1.0,"credit_card",5.0,102.66
"769214176682788a92801d8907fa1b40",1.0,"credit_card",4.0,105.28
"12e5cfe0e4716b59afb0e0f4a3bd6570",1.0,"credit_card",10.0,157.45
"61059985a6fc0ad64e95d9944caacdad",1.0,"credit_card",1.0,132.04
"79da3f5fe31ad1e454f06f95dc032ad5",1.0,"credit_card",1.0,98.94
"8ac09207f415d55acff302df7d6a895c",1.0,"credit_card",4.0,244.15
"b2349a3f20dfbeef62e7b31baa22f84b",1.0,"credit_card",3.0,136.71
"5a1f6d22f7dfb061ef29216b9af687a1",1.0,"credit_card",4.0,47.69
"4214cda550ece8ee66441f459dc33a8c",1.0,"credit_card",2.0,170.57
"adfbf6c2a620196f9a3ec747491c72b7",1.0,"credit_card",4.0,67.5
"4d680edbaa7d3d9bed69532957368a03",1.0,"credit_card",10.0,353.09
"8cd68144cdb62dc0d60848cf8616d2a4",1.0,"boleto",1.0,330.66
"5cfd514482e22bc992e7693f0e3e8df7",2.0,"voucher",1.0,45.17
"d0a945f85ba1074b60aac97ade7e240e",1.0,"credit_card",2.0,541.0
"c39414c195d0f94c9d9c35e7c6ed4f1a",1.0,"credit_card",2.0,139.22
"5d9c5817e278892b7498d90bfa28ade8",1.0,"credit_card",2.0,290.16
"b69b9260e79a0da00e15f48de1bd2524",1.0,"boleto",1.0,283.34
"f45074ae38f2e01d9b854ec8d40362ff",1.0,"credit_card",1.0,13.78
"81cedc4d2132eb6f512354166e51b187",1.0,"credit_card",1.0,30.28
"595f598849d89203c28d05d0fbf3f92e",1.0,"credit_card",1.0,26.58
"f9d0ec2fa088ac583e1ccd15b6686073",1.0,"credit_card",1.0,89.68
"e647bf617de735448a4ba54f8910393c",1.0,"credit_card",1.0,65.09
"b2bb080b6bc860118a246fd9b6fad6da",1.0,"credit_card",1.0,173.84
"23f10f509600c30cf2852f9dbdf28fc3",1.0,"credit_card",1.0,103.49
"f86f6472fa9f395d8d9a6751ca118afb",1.0,"credit_card",1.0,64.03
"1dcf0c8cd36ffaf57784fbdc90079310",1.0,"credit_card",3.0,157.15
"00d8d65b666158b633f96054d31af43b",1.0,"boleto",1.0,130.88
"cf30fe76d1505192acee1c6dccb15545",1.0,"credit_card",2.0,47.72
"d3e774a185c0b1b2286ffd6c70abe2e6",1.0,"credit_card",8.0,117.74
"32b1d8f3789a57f1f752e20ac7404b4c",1.0,"boleto",1.0,56.6
"c10d412026c4077b8e83acf0fea04eee",1.0,"credit_card",1.0,266.16
"56c3277583e16009c925fdf116df420f",1.0,"boleto",1.0,31.38
"0e0441786430b7cfcd0d91f822ea4c99",1.0,"credit_card",1.0,121.49
"6ffb3f1686bceae3466facf7e02ce3fb",1.0,"credit_card",1.0,32.0
"afef48d3c8a0b1b7c9b7f8f922fb5674",1.0,"credit_card",5.0,153.41
"c0db7d31ace61fc360a3eaa34dd3457c",1.0,"credit_card",5.0,65.71
"d574338f566ca28dd67820f48ec1f1d8",1.0,"credit_card",4.0,278.22
"1807cc736321f14baa58ef39cf6e5989",1.0,"credit_card",4.0,91.66
"e8977f709bbb0367f51b589e6325f991",1.0,"credit_card",1.0,132.51
"2e2c60b99754ae1e4d8b18846cfec9f2",1.0,"credit_card",4.0,542.66
"1ffb3c1929b16d9c1aec1958e11b3e9b",1.0,"boleto",1.0,166.04
"95442deb81a5d91c97c0df96b431634a",1.0,"boleto",1.0,368.98
"10af96a0689260134307879127ac1952",1.0,"credit_card",2.0,113.2
